v8-version,5,1,281,95,0
code-creation,Stub,15,0x13b774f11b80,204,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f11c60,244,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f11d60,182,"DoubleToIStub"
code-creation,Stub,15,0x13b774f11e20,443,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f11fe0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f12060,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f121c0,791,"FastNewClosureStub"
code-creation,Stub,3,0x13b774f124e0,2410,"RecordWriteStub"
code-creation,Stub,3,0x13b774f12e60,2406,"RecordWriteStub"
code-creation,CallIC,12,0x13b774f137e0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x13b774f13860,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x13b774f13a40,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x13b774f13b40,151,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f13be0,575,"FastNewContextStub"
code-creation,Stub,3,0x13b774f13e20,523,"FastNewContextStub"
code-creation,Stub,15,0x13b774f14040,471,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f14220,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f14380,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f14400,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f14480,320,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f145c0,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x13b774f14aa0,363,"FastNewContextStub"
code-creation,Stub,15,0x13b774f14c20,447,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f14de0,443,"BinaryOpICStub"
code-creation,CallIC,12,0x13b774f14fa0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x13b774f15020,464,"A call IC from the snapshot"
code-creation,Stub,15,0x13b774f15200,447,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f153c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f15440,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f15540,2372,"RecordWriteStub"
code-creation,Stub,15,0x13b774f15ea0,276,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f15fc0,188,"DoubleToIStub"
code-creation,Stub,3,0x13b774f16080,419,"FastNewContextStub"
code-creation,Stub,15,0x13b774f16240,244,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f16340,385,"JSEntryStub"
code-creation,Stub,3,0x13b774f164e0,1966,"FastCloneShallowArrayStub"
code-creation,Stub,3,0x13b774f16ca0,2406,"RecordWriteStub"
code-creation,Stub,15,0x13b774f17620,276,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f17740,320,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f17880,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f17900,407,"FastNewContextStub"
code-creation,Handler,4,0x13b774f17aa0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f17b20,356,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f17ca0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f17d20,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f17da0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f17e20,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f17ea0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x13b774f17f20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x13b774f17fa0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x13b774f18180,333,"ArrayConstructorStub"
code-creation,Stub,3,0x13b774f182e0,790,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f18600,2425,"RecordWriteStub"
